celltypebydonor,new_count
AT.transD314,52
AT.transD315,28
AT.transD320,26
AT.transD332,35
AT.transD335,36
AT.transD339,150
AT.transD347,48
AT.transD351,15
AT.transD355,35
AT.transD356,30
AT.transD357,39
AT.transD366,38
AT.transD369,29
AT.transD370,25
AT.transD371,5
AT.transD376,39
AT.transD381,28
AT.transUCSDX10,20
AT.transUCSDX11,12
AT.transUCSDX13,30
AT.transUCSDX14,45
AT.transUCSDX15,27
AT.transUCSDX16,24
AT.transUCSDX18,23
AT.transUCSDX19,53
AT.transUCSDX2,37
AT.transUCSDX20,7
AT.transUCSDX21,23
AT.transUCSDX23,20
AT.transUCSDX24,17
AT.transUCSDX25,34
AT.transUCSDX28,54
AT.transUCSDX29,26
AT.transUCSDX3,24
AT.transUCSDX30,26
AT.transUCSDX31,18
AT.transUCSDX33,28
AT.transUCSDX35,45
AT.transUCSDX36,37
AT.transUCSDX37,29
AT.transUCSDX38,38
AT.transUCSDX39,18
AT.transUCSDX4,28
AT.transUCSDX40,48
AT.transUCSDX41,37
AT.transUCSDX42,35
AT.transUCSDX43,37
AT.transUCSDX44,33
AT.transUCSDX46,15
AT.transUCSDX47,14
AT.transUCSDX49,15
AT.transUCSDX50,43
AT.transUCSDX51,46
AT.transUCSDX52,12
AT.transUCSDX53,35
AT.transUCSDX58,33
AT.transUCSDX59,19
AT.transUCSDX6,17
AT.transUCSDX61,19
AT.transUCSDX62,20
AT.transUCSDX63,24
AT.transUCSDX64,34
AT.transUCSDX69,25
AT.transUCSDX7,55
AT.transUCSDX72,25
AT.transUCSDX76,22
AT.transUCSDX77,22
AT.transUCSDX78,24
AT.transUCSDX8,11
AT.transUCSDX9,47
AT0D042,1
AT0D071,3
AT0D116,4
AT0D122,9
AT0D123,10
AT0D176,4
AT0D231,30
AT0D239,49
AT0D260,2
AT0D265,106
AT0D266,1
AT0D271,2
AT0D283,3
AT0D288,91
AT0D291,24
AT0D292,12
AT0D294,41
AT0D305,4
AT0D306,9
AT0D311,2
AT0D312,4
AT0D314,46
AT0D315,75
AT0D320,5
AT0D332,85
AT0D335,6
AT0D339,103
AT0D347,166
AT0D351,4
AT0D355,8
AT0D356,10
AT0D357,12
AT0D366,63
AT0D369,1
AT0D370,3
AT0D371,1
AT0D376,16
AT0D381,13
AT0UCSDX10,3
AT0UCSDX13,32
AT0UCSDX14,182
AT0UCSDX15,8
AT0UCSDX18,2
AT0UCSDX19,129
AT0UCSDX2,55
AT0UCSDX21,2
AT0UCSDX24,28
AT0UCSDX25,24
AT0UCSDX27,1
AT0UCSDX28,30
AT0UCSDX29,44
AT0UCSDX3,9
AT0UCSDX30,24
AT0UCSDX31,10
AT0UCSDX33,3
AT0UCSDX35,75
AT0UCSDX36,36
AT0UCSDX37,143
AT0UCSDX38,22
AT0UCSDX39,2
AT0UCSDX4,12
AT0UCSDX40,41
AT0UCSDX41,13
AT0UCSDX42,21
AT0UCSDX43,10
AT0UCSDX44,80
AT0UCSDX46,1
AT0UCSDX47,3
AT0UCSDX49,1
AT0UCSDX50,9
AT0UCSDX51,42
AT0UCSDX53,36
AT0UCSDX58,6
AT0UCSDX59,2
AT0UCSDX6,5
AT0UCSDX61,3
AT0UCSDX62,3
AT0UCSDX63,1
AT0UCSDX64,11
AT0UCSDX69,6
AT0UCSDX7,54
AT0UCSDX76,3
AT0UCSDX77,2
AT0UCSDX78,8
AT0UCSDX8,2
AT0UCSDX9,35
AT1D042,55
AT1D071,53
AT1D116,46
AT1D122,70
AT1D123,41
AT1D176,54
AT1D231,62
AT1D239,55
AT1D260,46
AT1D265,169
AT1D266,44
AT1D271,23
AT1D283,31
AT1D288,78
AT1D291,63
AT1D292,69
AT1D294,77
AT1D305,22
AT1D306,85
AT1D311,30
AT1D312,42
AT1D314,78
AT1D315,61
AT1D320,50
AT1D332,47
AT1D335,53
AT1D339,101
AT1D347,86
AT1D351,28
AT1D355,60
AT1D356,43
AT1D357,57
AT1D366,71
AT1D369,57
AT1D370,54
AT1D371,7
AT1D376,49
AT1D381,44
AT1UCSDX10,29
AT1UCSDX11,39
AT1UCSDX13,43
AT1UCSDX14,83
AT1UCSDX15,38
AT1UCSDX16,41
AT1UCSDX18,34
AT1UCSDX19,92
AT1UCSDX2,55
AT1UCSDX20,28
AT1UCSDX21,32
AT1UCSDX23,38
AT1UCSDX24,31
AT1UCSDX25,54
AT1UCSDX27,7
AT1UCSDX28,69
AT1UCSDX29,46
AT1UCSDX3,29
AT1UCSDX30,42
AT1UCSDX31,31
AT1UCSDX33,46
AT1UCSDX35,70
AT1UCSDX36,54
AT1UCSDX37,47
AT1UCSDX38,64
AT1UCSDX39,32
AT1UCSDX4,39
AT1UCSDX40,93
AT1UCSDX41,46
AT1UCSDX42,56
AT1UCSDX43,55
AT1UCSDX44,43
AT1UCSDX46,34
AT1UCSDX47,36
AT1UCSDX49,35
AT1UCSDX50,59
AT1UCSDX51,64
AT1UCSDX52,37
AT1UCSDX53,56
AT1UCSDX58,63
AT1UCSDX59,38
AT1UCSDX6,36
AT1UCSDX61,35
AT1UCSDX62,40
AT1UCSDX63,47
AT1UCSDX64,46
AT1UCSDX69,49
AT1UCSDX7,77
AT1UCSDX72,52
AT1UCSDX76,39
AT1UCSDX77,44
AT1UCSDX78,36
AT1UCSDX8,27
AT1UCSDX9,73
